

stn;time;tre200h0
BER;2018070201;18.2
BER;2018070202;17.3
BER;2018070203;16.4
BER;2018070204;15.5
BER;2018070205;15.6
BER;2018070206;17.1
BER;2018070207;18.8
BER;2018070208;20.7
BER;2018070209;23.0
BER;2018070210;24.8
BER;2018070211;26.2
BER;2018070212;28.1
BER;2018070213;29.3
BER;2018070214;29.6
BER;2018070215;29.7
BER;2018070216;29.8
BER;2018070217;29.6
BER;2018070218;27.4
BER;2018070219;24.3
BER;2018070220;22.3
BER;2018070221;21.9
BER;2018070222;21.1
BER;2018070223;20.6
BER;2018070300;20.2
BER;2018070301;19.7
BER;2018070302;19.6
BER;2018070303;19.1
BER;2018070304;18.7
BER;2018070305;18.2
BER;2018070306;16.6
BER;2018070307;16.5
BER;2018070308;16.5
BER;2018070309;16.6
BER;2018070310;17.0
BER;2018070311;18.4
BER;2018070312;19.8
BER;2018070313;21.6
BER;2018070314;22.7
BER;2018070315;23.9
BER;2018070316;24.6
BER;2018070317;23.5
BER;2018070318;21.7
BER;2018070319;20.9
BER;2018070320;19.0
BER;2018070321;17.7
BER;2018070322;17.6
BER;2018070323;17.4
BER;2018070400;17.2
BER;2018070401;17.2
BER;2018070402;17.1
BER;2018070403;17.1
BER;2018070404;17.1
BER;2018070405;17.3
BER;2018070406;17.7
BER;2018070407;18.0
BER;2018070408;18.7
BER;2018070409;21.4
BER;2018070410;23.8
BER;2018070411;25.5
BER;2018070412;26.9
BER;2018070413;27.5
BER;2018070414;28.0
BER;2018070415;27.9
BER;2018070416;28.1
BER;2018070417;27.2
BER;2018070418;25.1
BER;2018070419;22.6
BER;2018070420;20.2
BER;2018070421;18.8
BER;2018070422;17.7
BER;2018070423;17.3
BER;2018070500;18.4
BER;2018070501;17.1
BER;2018070502;16.8
BER;2018070503;16.4
BER;2018070504;15.8
BER;2018070505;16.1
BER;2018070506;16.4
BER;2018070507;16.8
BER;2018070508;16.9
BER;2018070509;17.5
BER;2018070510;18.7
BER;2018070511;19.4
BER;2018070512;19.9
BER;2018070513;20.2
BER;2018070514;20.4
BER;2018070515;20.5
